FOODCODE,DESCRIPTION,F_TOTAL (cup eq.),F_CITMLB (cup eq.),F_OTHER (cup eq.),F_JUICE (cup eq.),V_TOTAL (cup eq.),V_DRKGR (cup eq.),V_REDOR_TOTAL (cup eq.),V_REDOR_TOMATO (cup eq.),V_REDOR_OTHER (cup eq.),V_STARCHY_TOTAL (cup eq.),V_STARCHY_POTATO (cup eq.),V_STARCHY_OTHER (cup eq.),V_OTHER (cup eq.),V_LEGUMES (cup eq.),G_TOTAL (oz. eq.),G_WHOLE (oz. eq.),G_REFINED (oz. eq.),PF_TOTAL (oz. eq.),PF_MPS_TOTAL (oz. eq.),PF_MEAT (oz. eq.),PF_CUREDMEAT (oz. eq.),PF_ORGAN (oz. eq.),PF_POULT (oz. eq.),PF_SEAFD_HI (oz. eq.),PF_SEAFD_LOW (oz. eq.),PF_EGGS (oz. eq.),PF_SOY (oz. eq.),PF_NUTSDS (oz. eq.),PF_LEGUMES (oz. eq.),D_TOTAL (cup eq.),D_MILK (cup eq.),D_YOGURT (cup eq.),D_CHEESE (cup eq.),OILS (grams),SOLID_FATS (grams),ADD_SUGARS (tsp. eq.),A_DRINKS (no. of drinks)
53410200,"Cobbler, apricot",0.43,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,3.93,3.67,0
53410300,"Cobbler, berry",0.38,0.38,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,5.39,4.13,0
53410500,"Cobbler, cherry",0.17,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0.33,4.57,3.77,0
53410800,"Cobbler, peach",0.41,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,4.35,4.21,0
53410850,"Cobbler, pear",0.38,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,4.57,4.28,0
53410880,"Cobbler, plum",0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,4.33,4.05,0
53410900,"Cobbler, rhubarb",0.42,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,1.17,5.09,7.63,0
53415100,"Crisp, apple, apple dessert",0.63,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,1.35,2.99,0
53415120,"Fritter, apple",0.41,0,0.41,0,0,0,0,0,0,0,0,0,0,0,1.6,0,1.6,0.41,0,0,0,0,0,0,0,0.41,0,0,0,0.14,0.14,0,0,0,22.84,1.83,0
53415200,"Fritter, banana",0.42,0,0.42,0,0,0,0,0,0,0,0,0,0,0,1.1,0,1.1,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0.09,0.09,0,0,0.8,19.25,1.26,0
53415220,"Fritter, berry",0.35,0.35,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,1.32,0.34,0,0,0,0,0,0,0,0.34,0,0,0,0.11,0.11,0,0,0.96,19.53,1.51,0
53415300,"Crisp, blueberry",0.44,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87,4.87,5.08,0
53415400,"Crisp, cherry",0.11,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0.94,0.03,0,0,0,0,0,0,0,0.03,0,0,0,0.04,0.04,0,0,3.09,4.25,6.17,0
53415500,"Crisp, peach",0.43,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3.3,5.53,0
53420000,"Cream puff, eclair, custard or cream filled, NS as to icing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0.67,0.34,0,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,23.36,0.25,0
53420100,"Cream puff, eclair, custard or cream filled, not iced",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0.84,0.43,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,20.09,0.32,0
53420200,"Cream puff, eclair, custard or cream filled, iced",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,1.43,0.41,0,0,0,0,0,0,0,0.41,0,0,0,0.02,0.02,0,0,0,17.39,5.13,0
53420210,"Cream puff, eclair, custard or cream filled, iced, reduced fat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0.58,0.35,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,5.53,0.77,7.93,0
53420250,"Cream puff, no filling or icing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,1.75,0.84,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,22.87,0,0
53420300,"Air filled fritter or fried puff, without syrup, Puerto Rican style",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,1.32,0.68,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,12.48,9.18,8.04,0
53420310,"Wheat flour fritter, without syrup",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,1.56,0.8,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,9.14,29.74,0,0
53420400,"Sopaipilla, without syrup or honey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.39,0,0
53420410,Sopaipilla with syrup or honey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,0,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.67,4.95,0
53430000,"Crepe, NS as to filling",0.27,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0.68,0.35,0,0,0,0,0,0,0,0.35,0,0,0,0.12,0.12,0,0,2.23,3.36,2.59,0
53430100,"Crepe, chocolate filled",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0.58,0.3,0,0,0,0,0,0,0,0.3,0,0,0,0.23,0.23,0,0,0.84,4.49,2.32,0
53430200,"Crepe, fruit filled",0.27,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0.68,0.35,0,0,0,0,0,0,0,0.35,0,0,0,0.12,0.12,0,0,2.23,3.36,2.59,0
53430700,"Tamale, sweet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.56,3.57,0
